rank,name,category,score,percentile,e_total,e_fr,e_thd,e_match,e_unc,w_conf,price_brl,score_lower_95,score_upper_95,n_sources,thd_available,match_available,peakiness,impedance_interaction
111,Intime Shu-Mai,in-ear,0.000819,92.4,6.1429,6.1429,0.0,0.0,1.25,0.4444,88.35,0.000705,0.000957,1,False,False,80.5897,False
112,Sash Tres Second Edition (leather earpads),over-ear,0.000819,92.3,6.3508,6.3508,0.0,0.0,1.25,0.4444,85.4,0.000705,0.000958,1,False,False,87.8014,False
113,SoftEars Volume,in-ear,0.000818,92.2,5.0791,5.0791,0.0,0.0,1.7035,0.3699,89.0,0.000673,0.001014,4,False,False,60.577,False
114,Penon 10th Anniversary IEM,in-ear,0.000818,92.2,5.5462,5.5462,0.0,0.0,1.25,0.4444,97.9,0.000705,0.000957,1,False,False,76.1145,False
115,JVC HA-FX7,in-ear,0.000815,92.1,6.8027,6.8027,0.0,0.0,1.25,0.4444,80.11,0.000702,0.000954,1,False,False,75.6174,False
116,Sennheiser HD 428,over-ear,0.000814,92.0,6.3913,6.3913,0.0,0.0,1.25,0.4444,85.4,0.000701,0.000952,1,False,False,102.931,False
117,Samsung Gear IconX,over-ear,0.000813,92.0,6.7212,6.7212,0.0,0.0,1.25,0.4444,81.32,0.0007,0.000951,1,False,False,40.92,False
118,Anker Soundcore Spirit X,in-ear,0.000812,91.9,6.3369,6.3369,0.0,0.0,1.25,0.4444,86.38,0.000699,0.000949,1,False,False,65.0922,False
119,Sennheiser HD 540 reference-II,over-ear,0.000811,91.8,6.2695,6.2695,0.0,0.0,1.25,0.4444,87.37,0.000698,0.000949,1,False,False,81.0231,False
120,QCY HT05 Melobuds (ANC off),in-ear,0.000805,91.7,6.1395,6.1395,0.0,0.0,1.25,0.4444,89.9,0.000693,0.000941,1,False,False,53.8844,False
121,KZ ASX,in-ear,0.000805,91.7,5.5614,5.5614,0.0,0.0,1.25,0.4444,99.29,0.000693,0.000941,1,False,False,64.1258,False
122,Vento Conductor T-500 Pro,in-ear,0.000804,91.6,6.681,6.681,0.0,0.0,1.25,0.4444,82.7,0.000692,0.00094,1,False,False,72.4097,False
123,Koss SP540,over-ear,0.000798,91.5,6.9595,6.9595,0.0,0.0,1.25,0.4444,80.01,0.000687,0.000933,1,False,False,63.5726,False
124,Bose SoundLink Around-Ear II,over-ear,0.000797,91.5,6.8943,6.8943,0.0,0.0,1.25,0.4444,80.86,0.000686,0.000932,1,False,False,64.5103,False
125,Nothing ear (a),in-ear,0.000796,91.4,4.6298,4.6298,0.0,0.0,2.3885,0.2951,80.12,0.000626,0.00105,2,False,False,50.1722,False
126,"Tronsmart Apollo Bold (ANC off, pop)",in-ear,0.000796,91.3,3.9145,3.9145,0.0,0.0,1.25,0.4444,142.62,0.000685,0.000931,1,False,False,74.1279,False
127,Sennheiser HD 25-SP,over-ear,0.000793,91.3,6.6932,6.6932,0.0,0.0,1.25,0.4444,83.68,0.000683,0.000928,1,False,False,116.5044,False
128,Sennheiser HD 595,over-ear,0.000789,91.2,5.1154,5.1154,0.0,0.0,1.9023,0.3446,85.4,0.000639,0.000998,2,False,False,60.8657,False
129,Brainwavz S0,in-ear,0.000789,91.1,4.4718,4.4718,0.0,0.0,1.25,0.4444,125.89,0.00068,0.000923,1,False,False,86.5782,False
130,Logitech G PRO X LIGHTSPEED,over-ear,0.000789,91.1,8.4961,8.4961,0.0,0.0,1.25,0.4444,66.3,0.000679,0.000922,1,False,False,75.8119,False
131,SteelSeries Arctis 7 Wireless 2017,over-ear,0.000789,91.0,6.6873,6.6873,0.0,0.0,1.25,0.4444,84.24,0.000679,0.000922,1,False,False,56.1975,False
